dataset,rel_path,width,height,aspect_ratio,mode,channels,format,filesize_bytes,brightness,brightness_std,contrast,mean_saturation,clip_low_frac,clip_high_frac,sharpness_lapvar,edge_density,gray_entropy,metadata_blocks,corrupt
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00043.jpg,28,28,1.0,RGB,3,JPEG,12122,204.62840270996094,60.66322326660156,0.2348167449235916,0.09057067334651947,0.0,0.3482142857142857,0.1362580955028534,0.21683673469387754,5.924408408301328,4,False
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00001.jpg,28,28,1.0,RGB,3,JPEG,19055,192.71896362304688,72.02224731445312,0.27782055735588074,0.11727383732795715,0.0,0.399234693877551,0.20687897503376007,0.21301020408163265,5.876145162296741,4,False
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00042.jpg,28,28,1.0,RGB,3,JPEG,18585,190.79762268066406,64.15347290039062,0.2577250003814697,0.10065030306577682,0.0,0.28316326530612246,0.17880530655384064,0.2538265306122449,6.4795305239465275,4,False
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00002.jpg,28,28,1.0,RGB,3,JPEG,12146,210.36904907226562,61.29148483276367,0.24184288084506989,0.0822022408246994,0.0,0.36862244897959184,0.1636289656162262,0.21556122448979592,5.828027733061224,4,False
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00044.jpg,28,28,1.0,RGB,3,JPEG,18519,197.34481811523438,61.232078552246094,0.23894059658050537,0.12460118532180786,0.0,0.28188775510204084,0.12928639352321625,0.22193877551020408,6.3377293102907055,4,False
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00003.jpg,28,28,1.0,RGB,3,JPEG,18561,203.80995178222656,62.896976470947266,0.25264492630958557,0.09368275851011276,0.0,0.35586734693877553,0.18680043518543243,0.24362244897959184,6.024053776198878,4,False
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00045.jpg,28,28,1.0,RGB,3,JPEG,18559,190.8171844482422,61.5629997253418,0.24169179797172546,0.13945822417736053,0.0,0.22193877551020408,0.11469722539186478,0.22831632653061223,6.677573368698634,4,False
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00004.jpg,28,28,1.0,RGB,3,JPEG,18630,213.00552368164062,54.52835464477539,0.22067777812480927,0.09164973348379135,0.0,0.32653061224489793,0.24527588486671448,0.25892857142857145,5.978363668321446,4,False
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00050.jpg,28,28,1.0,RGB,3,JPEG,18426,200.0901336669922,62.01279067993164,0.24148859083652496,0.1101275235414505,0.0,0.3125,0.09548686444759369,0.23341836734693877,6.201644048426684,4,False
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00005.jpg,28,28,1.0,RGB,3,JPEG,18684,206.4638671875,55.304813385009766,0.22560931742191315,0.10568135231733322,0.0,0.27040816326530615,0.19086839258670807,0.2780612244897959,6.333276478307667,4,False
